;n;label;hit;total;percent
561;20;2;20.0;26.0;0.7692307692307693
562;20;3;24.0;30.0;0.8
563;20;4;24.0;32.0;0.75
564;20;5;28.0;31.0;0.9032258064516129
565;20;6;19.0;25.0;0.76
566;20;7;18.0;25.0;0.72
567;20;8;27.0;31.0;0.8709677419354839
568;20;9;24.0;32.0;0.75
569;20;B;32.0;38.0;0.8421052631578947
570;20;C;19.0;26.0;0.7307692307692307
571;20;D;22.0;27.0;0.8148148148148148
572;20;F;22.0;26.0;0.8461538461538461
573;20;G;29.0;31.0;0.9354838709677419
574;20;H;14.0;22.0;0.6363636363636364
575;20;J;24.0;32.0;0.75
576;20;K;20.0;26.0;0.7692307692307693
577;20;L;25.0;29.0;0.8620689655172413
578;20;M;21.0;27.0;0.7777777777777778
579;20;N;35.0;41.0;0.8536585365853658
580;20;P;19.0;22.0;0.8636363636363636
581;20;R;21.0;23.0;0.9130434782608695
582;20;S;32.0;34.0;0.9411764705882353
583;20;T;23.0;32.0;0.71875
584;20;V;17.0;20.0;0.85
585;20;W;23.0;28.0;0.8214285714285714
586;20;X;25.0;28.0;0.8928571428571429
587;20;Z;20.0;29.0;0.6896551724137931
588;21;1;19.0;28.0;0.6785714285714286
589;21;2;16.0;26.0;0.6153846153846154
590;21;3;24.0;31.0;0.7741935483870968
591;21;4;14.0;22.0;0.6363636363636364
592;21;5;25.0;27.0;0.9259259259259259
593;21;6;16.0;22.0;0.7272727272727273
594;21;7;24.0;40.0;0.6
595;21;8;24.0;28.0;0.8571428571428571
596;21;9;24.0;27.0;0.8888888888888888
597;21;B;30.0;32.0;0.9375
598;21;C;19.0;25.0;0.76
599;21;D;21.0;27.0;0.7777777777777778
600;21;F;24.0;29.0;0.8275862068965517
601;21;G;27.0;28.0;0.9642857142857143
602;21;H;16.0;25.0;0.64
603;21;J;16.0;22.0;0.7272727272727273
604;21;K;24.0;34.0;0.7058823529411765
605;21;L;23.0;27.0;0.8518518518518519
606;21;M;20.0;29.0;0.6896551724137931
607;21;N;28.0;33.0;0.8484848484848485
608;21;P;23.0;26.0;0.8846153846153846
609;21;R;20.0;25.0;0.8
