;n;label;hit;total;percent
568;20;9;26.0;28.0;0.9285714285714286
569;20;B;24.0;28.0;0.8571428571428571
570;20;C;32.0;33.0;0.9696969696969697
571;20;D;25.0;26.0;0.9615384615384616
572;20;F;26.0;29.0;0.896551724137931
573;20;G;26.0;27.0;0.9629629629629629
574;20;H;25.0;27.0;0.9259259259259259
575;20;J;26.0;29.0;0.896551724137931
576;20;K;27.0;28.0;0.9642857142857143
577;20;L;25.0;28.0;0.8928571428571429
578;20;M;26.0;27.0;0.9629629629629629
579;20;N;32.0;33.0;0.9696969696969697
580;20;P;27.0;29.0;0.9310344827586207
581;20;R;26.0;26.0;1.0
582;20;S;33.0;35.0;0.9428571428571428
583;20;T;32.0;37.0;0.8648648648648649
584;20;V;26.0;30.0;0.8666666666666667
585;20;W;34.0;35.0;0.9714285714285714
586;20;X;29.0;30.0;0.9666666666666667
587;20;Z;27.0;31.0;0.8709677419354839
588;21;1;19.0;27.0;0.7037037037037037
589;21;2;20.0;24.0;0.8333333333333334
590;21;3;31.0;33.0;0.9393939393939394
591;21;4;26.0;27.0;0.9629629629629629
592;21;5;23.0;24.0;0.9583333333333334
593;21;6;20.0;23.0;0.8695652173913043
594;21;7;27.0;32.0;0.84375
595;21;8;23.0;26.0;0.8846153846153846
596;21;9;26.0;30.0;0.8666666666666667
597;21;B;24.0;25.0;0.96
598;21;C;31.0;31.0;1.0
599;21;D;25.0;25.0;1.0
600;21;F;26.0;27.0;0.9629629629629629
601;21;G;28.0;29.0;0.9655172413793104
602;21;H;27.0;31.0;0.8709677419354839
603;21;J;24.0;26.0;0.9230769230769231
604;21;K;29.0;30.0;0.9666666666666667
605;21;L;33.0;34.0;0.9705882352941176
606;21;M;22.0;24.0;0.9166666666666666
607;21;N;39.0;42.0;0.9285714285714286
608;21;P;24.0;28.0;0.8571428571428571
609;21;R;22.0;23.0;0.9565217391304348
610;21;S;26.0;26.0;1.0
611;21;T;29.0;30.0;0.9666666666666667
612;21;V;32.0;34.0;0.9411764705882353
613;21;W;33.0;33.0;1.0
614;21;X;25.0;27.0;0.9259259259259259
615;21;Z;28.0;29.0;0.9655172413793104
616;22;1;23.0;31.0;0.7419354838709677
617;22;2;28.0;29.0;0.9655172413793104
618;22;3;34.0;36.0;0.9444444444444444
619;22;4;32.0;35.0;0.9142857142857143
620;22;5;28.0;30.0;0.9333333333333333
621;22;6;23.0;24.0;0.9583333333333334
622;22;7;22.0;28.0;0.7857142857142857
623;22;8;23.0;26.0;0.8846153846153846
624;22;9;25.0;27.0;0.9259259259259259
625;22;B;27.0;31.0;0.8709677419354839
626;22;C;27.0;28.0;0.9642857142857143
627;22;D;24.0;24.0;1.0
628;22;F;23.0;24.0;0.9583333333333334
629;22;G;30.0;30.0;1.0
630;22;H;20.0;22.0;0.9090909090909091
631;22;J;25.0;26.0;0.9615384615384616
632;22;K;30.0;32.0;0.9375
633;22;L;25.0;29.0;0.8620689655172413
634;22;M;20.0;22.0;0.9090909090909091
635;22;N;31.0;33.0;0.9393939393939394
636;22;P;24.0;26.0;0.9230769230769231
637;22;R;21.0;21.0;1.0
638;22;S;26.0;26.0;1.0
639;22;T;28.0;29.0;0.9655172413793104
640;22;V;29.0;32.0;0.90625
641;22;W;37.0;37.0;1.0
642;22;X;25.0;27.0;0.9259259259259259
643;22;Z;34.0;35.0;0.9714285714285714
